BN,ventBN,BS,IEnd,I:E ratio,iTime,eTime,inst_RR,TVi,TVe,TVe:TVi ratio,maxF,minF,maxP,PIP,Maw,PEEP,ipAUC,epAUC, ,BS,x01,TVi1,TVe1,x02,TVi2,TVe2,minF_to_zero
14,8261,50.7,51.58,0.29729729729729726,0.88,2.9600000000000004,15.624999999999998,392.3727777777778,402.40000000000003,1.025555346318906,47.11,-41.1,17.07,17.07,13.529545454545454,5.587999999999999,11.703566666666667,17.94326666666667, ,50.7,2015-06-15 01:27:16.927191000,392.3727777777778,402.40000000000003,2015-06-15 01:27:16.927191000,392.3727777777778,402.40000000000003,14.260416666666664
15,8262,54.54,55.52,0.3684210526315789,0.98,2.66,16.483516483516482,416.42888888888893,402.78944444444448,0.96724664208374911,44.71,-42.61,18.75,18.75,13.849591836734694,5.465999999999999,13.355733333333333,16.19525, ,54.54,2015-06-15 01:27:21.585243000,416.42888888888893,402.78944444444448,2015-06-15 01:27:21.585243000,416.42888888888893,402.78944444444448,16.600775193798448
16,8263,58.18,59.1,0.3357664233576642,0.92,2.74,16.39344262295082,402.57833333333332,406.13305555555559,1.0088298895591059,47.84,-40.04,18.04,18.04,13.711521739130433,5.516,12.411300000000001,16.689249999999998, ,58.18,2015-06-15 01:27:26.158753000,402.57833333333332,406.13305555555559,2015-06-15 01:27:26.158753000,402.57833333333332,406.13305555555559,15.109022556390975
17,8264,61.84,62.84,0.3144654088050315,1.0,3.1799999999999997,14.354066985645934,408.63138888888898,415.39305555555552,1.0165471054121715,42.52,-41.0,16.78,16.78,13.726199999999999,5.516,13.523500000000002,19.134300000000003, ,61.84,2015-06-15 01:27:30.541839000,408.63138888888898,415.39305555555552,2015-06-15 01:27:30.541839000,408.63138888888898,415.39305555555552,14.461267605633804
18,8265,66.02,67.04,0.375,1.02,2.72,16.0427807486631,420.40555555555562,408.67000000000002,0.97208515586801092,42.39,-41.4,18.66,18.66,13.817647058823527,5.473999999999999,13.884066666666667,16.503000000000004, ,66.02,2015-06-15 01:27:35.461834000,420.40555555555562,408.67000000000002,2015-06-15 01:27:35.461834000,420.40555555555562,408.67000000000002,15.659090909090907
19,8266,69.76,70.68,0.27218934911242604,0.92,3.38,13.953488372093023,396.81888888888886,406.41472222222222,1.024181896583104,44.93,-40.81,17.62,17.62,13.72086956521739,5.306,12.419383333333336,20.233116666666664, ,69.76,2015-06-15 01:27:39.769471000,396.81888888888886,406.41472222222222,2015-06-15 01:27:39.769471000,396.81888888888886,406.41472222222222,12.955696202531648
20,8267,74.06,75.1,0.35862068965517246,1.04,2.9,15.228426395939087,427.69944444444451,414.29444444444454,0.96865789709544226,43.45,-40.43,18.14,18.14,13.868269230769236,5.472,14.221933333333334,17.558950000000003, ,74.06,2015-06-15 01:27:45.098810000,427.69944444444451,414.29444444444454,2015-06-15 01:27:45.098810000,427.69944444444451,414.29444444444454,14.372340425531917
21,8268,78.0,78.92,0.32857142857142857,0.92,2.8000000000000003,16.129032258064516,395.63083333333338,388.93888888888893,0.98308538192520944,43.85,-41.27,20.7,20.7,13.921304347826087,5.3660000000000005,12.60295,16.96933333333333, ,78.0,2015-06-15 01:27:49.770774000,395.63083333333338,388.93888888888893,2015-06-15 01:27:49.770774000,395.63083333333338,388.93888888888893,15.365671641791044
22,8269,81.72,82.46,0.2534246575342466,0.74,2.92,16.39344262295082,358.63444444444445,364.21111111111105,1.0155497241078038,45.23,-39.18,21.34,21.34,13.592972972972971,5.404000000000001,9.8520000000000003,17.62746666666667, ,81.72,2015-06-15 01:27:53.969524000,358.63444444444445,364.21111111111105,2015-06-15 01:27:53.969524000,358.63444444444445,364.21111111111105,13.957446808510637
23,8270,85.38,86.32,0.2974683544303798,0.9400000000000001,3.1599999999999997,14.634146341463415,401.33000000000004,393.06333333333333,0.97940182227427131,45.02,-39.03,18.23,18.23,13.717659574468083,5.446,12.672466666666669,18.93053333333334, ,85.38,2015-06-15 01:27:58.483925000,401.33000000000004,393.06333333333333,2015-06-15 01:27:58.483925000,401.33000000000004,393.06333333333333,12.833333333333332
