BN,ventBN,BS,IEnd,I:E ratio,iTime,eTime,inst_RR,TVi,TVe,TVe:TVi ratio,maxF,minF,maxP,PIP,Maw,PEEP,ipAUC,epAUC, ,BS,x01,TVi1,TVe1,x02,TVi2,TVe2,minF_to_zero,plat_pressure,brunner
1,9,0.02,0.94,0.3285714308947933,0.9200000166893005,2.8000000309944153,16.129032051319307,621.86610947052634,615.35111409839658,0.98952347575641841,81.87000274658203,-64.5999984741211,24.93000030517578,24.93000030517578,22.192173937092658,8.718000030517578,20.079766677220665,26.95659997304281, ,0.02,2015-08-21 03:58:15.522184943,621.86610947052634,615.35111409839658,2015-08-21 03:58:15.522184943,621.86610947052634,615.35111409839658,24.8269228312523,nan,0.59509665019729674
2,10,3.74,4.66,0.3593750035070115,0.9200000166893005,2.560000021457672,17.24137912134873,619.10971905125518,617.56666235708531,0.99750761997964676,74.97000122070312,-66.55999755859375,24.809999465942383,24.809999465942383,22.178043489870817,8.697999954223633,20.071200005213417,24.81279992421468, ,3.74,2015-08-21 03:58:19.876681210,619.10971905125518,617.56666235708531,2015-08-21 03:58:19.876681210,619.10971905125518,617.56666235708531,27.97058796593334,nan,0.58868142958155456
3,13,7.22,8.14,0.3239436686641994,0.9200000166893005,2.8399999928474426,15.957446768036682,619.7586078246436,616.56666742348,0.99484970380263482,80.48999786376953,-66.01000213623047,24.93000030517578,24.93000030517578,22.18782599075981,9.061999893188476,20.07579992135366,27.322333246866865, ,7.22,2015-08-21 03:58:38.736088403,619.7586078246436,616.56666742348,2015-08-21 03:58:38.736088403,619.7586078246436,616.56666742348,nan,nan,0.57968106148185494
4,14,10.98,11.9,0.3239436686641994,0.9200000166893005,2.8399999928474426,15.957446768036682,609.89083459311064,618.11333125829697,1.0134819154491344,78.47000122070312,-66.62000274658203,25.06999969482422,25.06999969482422,22.193478252576746,8.910000038146972,20.081166659990949,27.294933331807457, ,10.98,2015-08-21 03:58:43.167021866,609.89083459311064,618.11333125829697,2015-08-21 03:58:43.167021866,609.89083459311064,618.11333125829697,nan,nan,0.5751264065835946
5,15,14.74,15.66,0.3239436686641994,0.9200000166893005,2.8399999928474426,15.957446768036682,602.7066682353618,603.93110979927906,1.002031571290728,79.4800033569336,-66.44000244140625,24.899999618530273,24.899999618530273,22.17369560573412,9.072000122070312,20.063116625150048,27.30539991378784, ,14.74,2015-08-21 03:58:47.931112108,602.7066682353618,603.93110979927906,2015-08-21 03:58:47.931112108,602.7066682353618,603.93110979927906,nan,nan,0.56151899621108858
6,16,18.5,19.42,0.3239436686641994,0.9200000166893005,2.8399999928474426,15.957446768036682,602.49972149067457,609.59555224908729,1.0117773179062333,79.30999755859375,-65.30999755859375,24.850000381469727,24.850000381469727,22.176956467006516,9.029999923706054,20.065983274777736,27.26640004475912, ,18.5,2015-08-21 03:58:52.387724629,602.49972149067457,609.59555224908729,2015-08-21 03:58:52.387724629,602.49972149067457,609.59555224908729,nan,nan,0.57919546920649567
7,17,22.26,23.18,0.3239436686641994,0.9200000166893005,2.8399999928474426,15.957446768036682,603.35806115965056,610.73444474405721,1.0122255490715235,77.62000274658203,-65.29000091552734,24.8799991607666,24.8799991607666,22.168043551237687,8.933999824523926,20.058283405303953,27.296466636657712, ,22.26,2015-08-21 03:58:56.828430733,603.35806115965056,610.73444474405721,2015-08-21 03:58:56.828430733,603.35806115965056,610.73444474405721,nan,nan,0.58068439498132396
8,19,26.02,26.94,0.3239436686641994,0.9200000166893005,2.8399999928474426,15.957446768036682,598.19333235753902,603.40888492266322,1.0087188410217967,79.41999816894531,-64.83999633789062,24.989999771118164,24.989999771118164,22.17347829238228,9.094000053405761,20.062333354949953,27.3234667078654, ,26.02,2015-08-21 03:59:07.362410322,598.19333235753902,603.40888492266322,2015-08-21 03:59:07.362410322,598.19333235753902,603.40888492266322,nan,nan,0.57716450432538369
9,20,29.78,30.7,0.3239436686641994,0.9200000166893005,2.8399999928474426,15.957446768036682,607.60972522364716,603.47555563847231,0.99319601149627235,81.41000366210938,-64.94000244140625,24.8799991607666,24.8799991607666,22.17173899774966,8.989999961853027,20.060399869283042,27.2382666015625, ,29.78,2015-08-21 03:59:11.800597519,607.60972522364716,603.47555563847231,2015-08-21 03:59:11.800597519,607.60972522364716,603.47555563847231,nan,nan,0.57619288454744078
10,21,33.54,34.46,0.3239436686641994,0.9200000166893005,2.8399999928474426,15.957446768036682,622.76000049875847,621.76888736420199,0.99840851510411277,80.41000366210938,-64.87000274658203,24.940000534057617,24.940000534057617,22.189999912096106,8.956000137329102,20.078499922752382,27.334666659037275, ,33.54,2015-08-21 03:59:16.244503506,622.76000049875847,621.76888736420199,2015-08-21 03:59:16.244503506,622.76000049875847,621.76888736420199,nan,nan,0.59780873231335174
