BN,ventBN,BS,IEnd,I:E ratio,iTime,eTime,inst_RR,TVi,TVe,TVe:TVi ratio,maxF,minF,maxP,PIP,Maw,PEEP,ipAUC,epAUC, ,BS,x01,TVi1,TVe1,x02,TVi2,TVe2,minF_to_zero,plat_pressure,brunner
1,3499,0.02,0.48,0.11979166666666667,0.46,3.84,13.953488372093023,309.44777777777773,320.00555555555559,1.0341181244008146,66.84,-62.26,31.62,31.62,17.133478260869566,4.974,7.4856000000000016,20.28666666666667, ,0.02,0.48000000000000004,309.44777777777773,320.00555555555559,0.48000000000000004,309.44777777777773,320.00555555555559,34.24725274725275,nan,0.30839558001784029
2,3500,4.32,5.34,0.31097560975609756,1.02,3.28,13.953488372093023,628.51555555555569,612.38333333333333,0.9743328194829437,71.36,-62.65,28.0,28.0,19.976274509803922,5.064,20.102733333333337,20.848666666666666, ,4.32,5.34,628.51555555555569,612.38333333333333,5.34,628.51555555555569,612.38333333333333,23.444029850746265,nan,0.59801619834715014
3,3501,8.62,9.64,0.31097560975609756,1.02,3.28,13.953488372093023,614.92888888888899,604.5633333333335,0.9831434890393832,63.93,-64.12,29.8,29.8,19.817647058823535,5.672,19.940200000000001,21.0614, ,8.62,9.639999999999999,614.92888888888899,604.5633333333335,9.639999999999999,614.92888888888899,604.5633333333335,23.87037037037037,nan,0.57469805003624697
4,3502,12.92,13.94,0.31097560975609756,1.02,3.28,13.953488372093023,594.42111111111103,602.06777777777779,1.0128640563461371,60.54,-65.53,30.25,30.25,19.744705882352942,5.747999999999999,19.854733333333332,21.064533333333337, ,12.92,13.939999999999998,594.42111111111103,602.06777777777779,13.939999999999998,594.42111111111103,602.06777777777779,23.817518248175187,nan,0.55873370879265583
5,3503,17.22,18.24,0.31097560975609756,1.02,3.28,13.953488372093023,598.35777777777787,609.08777777777789,1.0179324150173994,70.66,-63.39,27.24,27.24,19.892156862745097,5.846000000000001,19.971466666666672,21.100600000000004, ,17.22,18.24,598.35777777777787,609.08777777777789,18.24,598.35777777777787,609.08777777777789,29.75233644859813,nan,0.58676346845182026
6,3504,21.52,22.54,0.31097560975609756,1.02,3.28,13.953488372093023,595.5200000000001,623.6444444444445,1.0472267001014985,67.66,-64.16,27.69,27.69,19.86823529411765,5.204,20.000333333333334,20.95146666666667, ,21.52,22.54,595.5200000000001,623.6444444444445,22.54,595.5200000000001,623.6444444444445,31.009708737864074,nan,0.59430909839143287
7,3505,25.82,26.84,0.31097560975609756,1.02,3.28,13.953488372093023,614.16444444444448,608.4666666666667,0.99072271631919062,67.17,-64.95,28.81,28.81,19.98392156862745,5.715999999999999,20.095066666666668,21.07486666666667, ,25.82,26.84,614.16444444444448,608.4666666666667,26.84,614.16444444444448,608.4666666666667,23.850364963503655,nan,0.57067696378360688
8,3506,30.12,31.14,0.31097560975609756,1.02,3.28,13.953488372093023,608.17777777777781,613.07000000000005,1.0080440660625549,71.76,-62.69,27.67,27.67,19.83843137254902,5.728,19.96413333333334,21.07866666666667, ,30.12,31.14,608.17777777777781,613.07000000000005,31.14,608.17777777777781,613.07000000000005,31.555555555555554,nan,0.59833744036542091
9,3507,34.42,35.44,0.31097560975609756,1.02,3.28,13.953488372093023,597.87444444444441,611.68555555555554,1.0231003536602818,73.6,-63.49,30.31,30.31,20.00176470588234,5.9159999999999995,20.12306666666667,21.083933333333338, ,34.42,35.440000000000005,597.87444444444441,611.68555555555554,35.440000000000005,597.87444444444441,611.68555555555554,28.680180180180184,nan,0.58850266139608265
10,3508,38.72,39.74,0.31097560975609756,1.02,3.28,13.953488372093023,599.76333333333343,619.1344444444444,1.0322979249222375,73.4,-65.22,27.8,27.8,19.95921568627451,5.808000000000001,20.084533333333329,21.062933333333334, ,38.72,39.74,599.76333333333343,619.1344444444444,39.74,599.76333333333343,619.1344444444444,29.66363636363637,nan,0.57900074691521564
