BN,ventBN,BS,IEnd,I:E ratio,iTime,eTime,inst_RR,TVi,TVe,TVe:TVi ratio,maxF,minF,maxP,PIP,Maw,PEEP,ipAUC,epAUC, ,BS,x01,TVi1,TVe1,x02,TVi2,TVe2,minF_to_zero
1,441,0.02,6.0,299.0000000000064,5.98,0.019999999999999574,10.0,-1139.3755555555554,0,-0.0,-0.93,-95.56,24.67,24.67,8.02709030100334,0,47.856733333333338,0, ,0.02,6.0,-1139.3755555555554,0,0.02,0,1139.3755555555554,nan
2,442,6.02,6.94,0.18110236220472442,0.92,5.08,10.0,335.98777777777775,370.82888888888897,1.1036975551359345,40.23,-58.54,19.37,19.37,17.644565217391303,5.096,15.993133333333333,26.37493333333333, ,6.02,6.9399999999999995,335.98777777777775,370.82888888888897,6.9399999999999995,335.98777777777775,370.82888888888897,nan
3,443,12.02,12.94,0.18110236220472442,0.92,5.08,10.0,392.11833333333351,459.82777777777784,1.1726760487551231,47.09,-55.81,19.34,19.34,17.619130434782605,5.132,15.966216666666668,26.500333333333337, ,12.02,12.94,392.11833333333351,459.82777777777784,12.94,392.11833333333351,459.82777777777784,nan
4,444,18.02,18.94,0.32857142857142857,0.92,2.8000000000000003,16.129032258064516,198.12805555555556,204.54111111111109,1.0323682354706061,38.85,-62.98,19.64,19.64,17.77108695652174,4.804,16.110033333333334,14.769066666666669, ,18.02,18.94,198.12805555555556,204.54111111111109,18.94,198.12805555555556,204.54111111111109,822.7500000000003
5,445,21.74,22.66,0.12921348314606743,0.92,7.119999999999999,7.46268656716418,328.39749999999998,401.78888888888889,1.2234833970687624,52.26,-65.43,19.42,19.42,17.63869565217392,4.912,15.986600000000003,36.68653333333334, ,21.74,22.66,328.39749999999998,401.78888888888889,22.66,328.39749999999998,401.78888888888889,9.654411764705884
6,446,29.78,30.7,0.25842696629213485,0.92,3.5599999999999996,13.392857142857144,592.84722222222229,463.46444444444444,0.78176033735504269,53.75,-67.67,19.84,19.84,17.62,4.872,15.96415,19.0058, ,29.78,30.7,592.84722222222229,463.46444444444444,30.7,592.84722222222229,463.46444444444444,19.81578947368421
7,447,34.26,35.18,0.21100917431192664,0.92,4.359999999999999,11.363636363636365,624.68027777777775,612.59666666666669,0.98065632685876203,61.68,-66.26,19.56,19.56,17.53695652173913,4.874,15.890533333333334,23.20126666666667, ,34.26,35.18,624.68027777777775,612.59666666666669,35.18,624.68027777777775,612.59666666666669,15.589201877934276
8,448,39.54,40.46,0.3108108108108108,0.92,2.96,15.463917525773196,678.548888888889,564.8122222222222,0.83238250252990842,62.5,-56.15,19.44,19.44,17.532391304347826,4.762,15.888299999999999,16.1744, ,39.54,40.46,678.548888888889,564.8122222222222,40.46,678.548888888889,564.8122222222222,19.893617021276594
9,449,43.42,44.58,0.3314285714285715,1.16,3.499999999999999,12.875536480686698,756.91944444444448,725.77083333333348,0.95884818214179568,52.76,-72.53,19.86,19.86,17.5401724137931,5.209999999999999,20.10251666666667,19.385800000000003, ,43.42,44.58,756.91944444444448,725.77083333333348,44.58,756.91944444444448,725.77083333333348,nan
10,450,48.08,49.0,0.18110236220472442,0.92,5.08,10.0,459.23444444444442,559.03111111111104,1.217310935348926,43.95,-52.05,19.39,19.39,17.60304347826086,5.016,15.951900000000002,26.660466666666668, ,48.08,49.0,459.23444444444442,559.03111111111104,49.0,459.23444444444442,559.03111111111104,nan
11,451,54.08,55.0,0.18110236220472442,0.92,5.08,10.0,457.70750000000004,488.65444444444444,1.0676129284410774,44.38,-58.0,19.49,19.49,17.653043478260873,4.942,15.997350000000001,26.570400000000006, ,54.08,55.0,457.70750000000004,488.65444444444444,55.0,457.70750000000004,488.65444444444444,nan
12,452,60.08,61.0,0.18110236220472442,0.92,5.08,10.0,485.7144444444445,503.65444444444444,1.0369352820472932,49.33,-57.39,19.42,19.42,17.61369565217391,4.978,15.962300000000001,26.62066666666667, ,60.08,61.0,485.7144444444445,503.65444444444444,61.0,485.7144444444445,503.65444444444444,nan
13,453,66.08,67.0,0.2771084337349398,0.92,3.3199999999999994,14.150943396226417,553.50638888888886,495.95666666666676,0.89602699557317189,50.07,-54.71,19.43,19.43,17.563695652173905,4.818,15.915333333333335,18.932733333333335, ,66.08,67.0,553.50638888888886,495.95666666666676,67.0,553.50638888888886,495.95666666666676,17.172955974842765
14,454,70.32,71.24,0.2180094786729858,0.92,4.22,11.673151750972764,661.25972222222231,659.48722222222239,0.99731951011012243,65.67,-58.38,19.5,19.5,17.535217391304347,4.85,15.893250000000002,22.64691666666667, ,70.32,71.24,661.25972222222231,659.48722222222239,71.24,661.25972222222231,659.48722222222239,14.931122448979592
15,455,75.46,76.38,0.14603174603174604,0.92,6.3,8.310249307479225,632.83611111111111,692.79999999999995,1.0947542149318983,60.43,-54.79,19.48,19.48,17.52347826086956,4.8340000000000005,15.880766666666668,33.13648333333334, ,75.46,76.38,632.83611111111111,692.79999999999995,76.38,632.83611111111111,692.79999999999995,17.46815286624204
16,456,82.68,83.6,0.14110429447852763,0.92,6.52,8.064516129032258,592.59944444444454,641.77777777777771,1.0829874779572859,56.4,-52.58,19.35,19.35,17.540000000000006,5.128,15.895850000000001,35.037533333333336, ,82.68,83.6,592.59944444444454,641.77777777777771,83.6,592.59944444444454,641.77777777777771,36.0
17,457,90.12,91.04,0.18110236220472442,0.92,5.08,10.0,491.53000000000009,481.08000000000004,0.9787398531117123,49.27,-56.48,19.43,19.43,17.58565217391304,5.017999999999999,15.937000000000001,27.1062, ,90.12,91.03999999999999,491.53000000000009,481.08000000000004,91.03999999999999,491.53000000000009,481.08000000000004,nan
18,458,96.12,97.04,0.5476190476190476,0.92,1.6800000000000002,23.076923076923077,538.73638888888888,391.57000000000005,0.72683042778600759,49.57,-53.96,19.36,19.36,17.561956521739127,5.458,15.914116666666667,10.340866666666667, ,96.12,97.03999999999999,538.73638888888888,391.57000000000005,97.03999999999999,538.73638888888888,391.57000000000005,33.33536585365854
19,459,98.72,99.64,0.10849056603773585,0.92,8.48,6.382978723404255,506.81000000000006,682.47111111111133,1.3466015096606445,77.44,-62.93,19.75,19.75,17.570000000000014,5.076,15.926000000000002,44.00346666666667, ,98.72,99.63999999999999,506.81000000000006,682.47111111111133,99.63999999999999,506.81000000000006,682.47111111111133,10.849480968858131
20,460,108.12,109.04,0.22549019607843138,0.92,4.08,12.0,553.99500000000012,492.51222222222231,0.88901925508754087,49.67,-52.02,19.37,19.37,17.550652173913043,4.87,15.90501666666667,22.334333333333337, ,108.12,109.03999999999999,553.99500000000012,492.51222222222231,109.03999999999999,553.99500000000012,492.51222222222231,13.075376884422113
21,461,113.12,114.04,0.15081967213114755,0.92,6.1,8.547008547008547,619.4480555555557,659.90472222222229,1.0653108300265512,55.08,-56.66,19.74,19.74,17.561521739130434,4.992,15.913416666666668,33.27196666666667, ,113.12,114.03999999999999,619.4480555555557,659.90472222222229,114.03999999999999,619.4480555555557,659.90472222222229,10.339416058394159
22,462,120.14,121.06,0.19246861924686195,0.92,4.779999999999999,10.526315789473685,562.51611111111117,521.64222222222224,0.92733738984266123,50.33,-52.23,19.5,19.5,17.59978260869566,4.914,15.949466666666668,26.42488333333333, ,120.14,121.05999999999999,562.51611111111117,521.64222222222224,121.05999999999999,562.51611111111117,521.64222222222224,11.51101321585903
23,463,125.84,126.76,0.22009569377990434,0.92,4.18,11.764705882352942,574.26666666666665,534.75305555555553,0.93119292237442919,61.34,-61.47,19.47,19.47,17.595869565217395,4.712,15.946383333333335,22.16811666666667, ,125.84,126.75999999999999,574.26666666666665,534.75305555555553,126.75999999999999,574.26666666666665,534.75305555555553,16.31117021276596
24,464,130.94,131.86,0.2839506172839507,0.92,3.2399999999999993,14.423076923076925,643.02972222222218,583.76333333333343,0.90783258247523568,62.74,-54.66,19.45,19.45,17.53739130434783,4.779999999999999,15.892650000000001,19.129200000000004, ,130.94,131.85999999999999,643.02972222222218,583.76333333333343,131.85999999999999,643.02972222222218,583.76333333333343,18.95138888888889
25,465,135.1,136.02,0.19008264462809918,0.92,4.84,10.416666666666668,664.65777777777794,732.11666666666679,1.1014941690962099,66.28,-55.38,19.32,19.32,17.50869565217391,4.884,15.872,27.744400000000002, ,135.1,136.01999999999998,664.65777777777794,732.11666666666679,136.01999999999998,664.65777777777794,732.11666666666679,15.49441340782123
26,466,140.86,141.78,0.10978520286396183,0.92,8.379999999999999,6.451612903225807,573.18250000000012,692.51583333333326,1.2081943069324921,75.24,-60.12,19.52,19.52,17.534999999999997,4.9479999999999995,15.896633333333337,43.5351, ,140.86,141.77999999999997,573.18250000000012,692.51583333333326,141.77999999999997,573.18250000000012,692.51583333333326,10.454703832752612
27,467,150.16,151.08,0.3458646616541353,0.92,2.66,16.75977653631285,577.26972222222219,436.6513888888889,0.75640791830893617,49.02,-55.24,19.41,19.41,17.616739130434777,5.134,15.964000000000002,15.78265, ,150.16,151.07999999999998,577.26972222222219,436.6513888888889,151.07999999999998,577.26972222222219,436.6513888888889,22.826446280991735
28,468,153.74,154.66,0.35658914728682173,0.92,2.58,17.142857142857142,696.9575000000001,623.05444444444447,0.89396332551761681,63.81,-52.59,19.57,19.57,17.56434782608696,4.837999999999999,15.917583333333335,15.433033333333334, ,153.74,154.66,696.9575000000001,623.05444444444447,154.66,696.9575000000001,623.05444444444447,21.85
29,469,157.24,158.54,0.3571428571428572,1.3,3.6399999999999997,12.145748987854253,852.92222222222233,851.43888888888898,0.99826088089313858,57.11,-76.29,19.93,19.93,17.723230769230774,5.08,22.790266666666668,20.649066666666666, ,157.24,158.54000000000002,852.92222222222233,851.43888888888898,158.54000000000002,852.92222222222233,851.43888888888898,nan
30,470,162.18,163.1,0.18110236220472442,0.92,5.08,10.0,536.93333333333328,622.42111111111103,1.1592148828739341,43.43,-52.99,19.41,19.41,17.610217391304353,5.1259999999999994,15.958416666666666,28.303400000000003, ,162.18,163.1,536.93333333333328,622.42111111111103,163.1,536.93333333333328,622.42111111111103,nan
31,471,168.18,169.1,0.18110236220472442,0.92,5.08,10.0,465.99194444444441,491.89444444444445,1.0555857248366836,44.61,-54.47,19.4,19.4,17.64043478260869,5.068,15.985033333333336,26.56326666666667, ,168.18,169.1,465.99194444444441,491.89444444444445,169.1,465.99194444444441,491.89444444444445,nan
32,472,174.18,175.1,0.18110236220472442,0.92,5.08,10.0,453.59194444444444,463.18777777777785,1.0211552110897524,42.1,-54.73,19.44,19.44,17.661739130434785,5.146000000000001,16.004566666666669,26.53326666666667, ,174.18,175.1,453.59194444444444,463.18777777777785,175.1,453.59194444444444,463.18777777777785,nan
33,473,180.18,180.78,1.1538461538461535,0.6,0.5200000000000001,53.57142857142857,90.18138888888889,70.604444444444468,0.78291591329819865,38.94,-64.17,19.75,19.75,17.049333333333333,4.484,9.9818499999999997,7.460733333333334, ,180.18,180.78,90.18138888888889,70.604444444444468,180.78,90.18138888888889,70.604444444444468,1097.3333333333344
34,474,181.3,182.72,0.5,1.42,2.84,14.084507042253522,630.78666666666675,490.30111111111125,0.77728515363531969,37.97,-78.2,20.37,20.37,17.975774647887317,4.83,25.260599999999997,15.435800000000002, ,181.3,182.72,630.78666666666675,490.30111111111125,182.72,630.78666666666675,490.30111111111125,29.175373134328357
35,475,185.56,186.48,0.16083916083916086,0.92,5.72,9.036144578313253,731.00722222222248,804.00666666666677,1.0998614544771936,66.33,-54.86,19.45,19.45,17.50434782608696,5.066,15.862533333333333,30.503333333333337, ,185.56,186.48,731.00722222222248,804.00666666666677,186.48,731.00722222222248,804.00666666666677,nan
36,476,192.2,193.12,1.5333333333333334,0.92,0.6,39.473684210526315,94.042500000000018,67.356666666666669,0.71623645337657604,39.04,-61.1,19.65,19.65,17.796086956521734,4.970000000000001,16.133666666666667,3.5337999999999994, ,192.2,193.11999999999998,94.042500000000018,67.356666666666669,193.04,93.902500000000018,70.744444444444454,1046.000000000001
37,477,193.72,195.38,0.5845070422535212,1.6600000000000001,2.84,13.333333333333334,908.91777777777793,749.38333333333321,0.82447868405160685,43.62,-79.21,20.4,20.4,18.049036144578317,4.888,29.706866666666667,16.1536, ,193.72,195.38,908.91777777777793,749.38333333333321,195.38,908.91777777777793,749.38333333333321,nan
38,478,198.22,199.14,0.18110236220472442,0.92,5.08,10.0,604.49888888888893,768.62888888888892,1.2715141467036977,60.38,-65.44,19.63,19.63,17.5854347826087,5.045999999999999,15.93496666666667,27.1722, ,198.22,199.14,604.49888888888893,768.62888888888892,199.14,604.49888888888893,768.62888888888892,nan
